"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testClone","avgt",1,200,8.062983,0.099357,"ns/op",10
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testClone","avgt",1,200,124.402528,1.669799,"ns/op",1000
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testClone","avgt",1,200,114854.054125,1519.915426,"ns/op",1000000
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopy","avgt",1,200,9.418865,0.130818,"ns/op",10
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopy","avgt",1,200,125.645422,1.619773,"ns/op",1000
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopy","avgt",1,200,113181.032202,1190.738453,"ns/op",1000000
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,8.168098,0.120130,"ns/op",10
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,121.750413,1.388826,"ns/op",1000
"com.github.arnaudroger.ArrayByteCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,114355.438779,1697.552689,"ns/op",1000000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testClone","avgt",1,200,8.657950,0.117608,"ns/op",10
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testClone","avgt",1,200,411.835721,4.184073,"ns/op",1000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testClone","avgt",1,200,454904.801294,5658.117598,"ns/op",1000000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopy","avgt",1,200,10.871341,0.688871,"ns/op",10
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopy","avgt",1,200,415.630845,4.507758,"ns/op",1000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopy","avgt",1,200,458826.417533,6464.820655,"ns/op",1000000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,9.449839,0.605001,"ns/op",10
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,411.192243,4.744964,"ns/op",1000
"com.github.arnaudroger.ArrayIntCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,456046.347366,5901.017597,"ns/op",1000000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testClone","avgt",1,200,10.941364,0.601786,"ns/op",10
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testClone","avgt",1,200,797.135846,8.009812,"ns/op",1000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testClone","avgt",1,200,1026582.210407,15093.506985,"ns/op",1000000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopy","avgt",1,200,11.055181,0.142455,"ns/op",10
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopy","avgt",1,200,799.921206,7.124901,"ns/op",1000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopy","avgt",1,200,1009441.961640,10218.426316,"ns/op",1000000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,10.088900,0.161414,"ns/op",10
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,799.385683,8.184003,"ns/op",1000
"com.github.arnaudroger.ArrayLongCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,1011800.790258,11675.377041,"ns/op",1000000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testClone","avgt",1,200,8.669139,0.107545,"ns/op",10
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testClone","avgt",1,200,415.212293,4.703137,"ns/op",1000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testClone","avgt",1,200,654350.050496,8215.610465,"ns/op",1000000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopy","avgt",1,200,9.686420,0.133873,"ns/op",10
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopy","avgt",1,200,414.669700,5.050799,"ns/op",1000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopy","avgt",1,200,655515.745185,7713.098488,"ns/op",1000000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,8.853694,0.102133,"ns/op",10
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,414.023017,4.858508,"ns/op",1000
"com.github.arnaudroger.ArrayObjectCopyVsCloneBenchmark.testCopyFixed","avgt",1,200,658901.366094,9475.964157,"ns/op",1000000
"com.github.arnaudroger.Object16CopyVsCloneBenchmark.testClone","avgt",1,200,9.671179,0.125918,"ns/op",
"com.github.arnaudroger.Object16CopyVsCloneBenchmark.testCopy","avgt",1,200,13.970254,0.207168,"ns/op",
"com.github.arnaudroger.Object32CopyVsCloneBenchmark.testClone","avgt",1,200,18.241701,0.467260,"ns/op",
"com.github.arnaudroger.Object32CopyVsCloneBenchmark.testCopy","avgt",1,200,23.875963,0.366299,"ns/op",
"com.github.arnaudroger.Object32CopyVsCloneEABenchmark.testClone","avgt",1,200,15.417183,0.448668,"ns/op",
"com.github.arnaudroger.Object32CopyVsCloneEABenchmark.testCopy","avgt",1,200,3.379541,0.010958,"ns/op",
"com.github.arnaudroger.Object4CopyVsCloneBenchmark.testClone","avgt",1,200,7.620578,0.105326,"ns/op",
"com.github.arnaudroger.Object4CopyVsCloneBenchmark.testCopy","avgt",1,200,5.866236,0.069454,"ns/op",
"com.github.arnaudroger.Object8CopyVsCloneBenchmark.testClone","avgt",1,200,7.408499,0.106269,"ns/op",
"com.github.arnaudroger.Object8CopyVsCloneBenchmark.testCopy","avgt",1,200,7.869997,0.118392,"ns/op",
