# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 10)

# Run progress: 0.00% complete, ETA 00:40:00
# Fork: 1 of 10
# Warmup Iteration   1: 22.416 ns/op
# Warmup Iteration   2: 21.993 ns/op
# Warmup Iteration   3: 21.708 ns/op
# Warmup Iteration   4: 21.658 ns/op
# Warmup Iteration   5: 21.833 ns/op
# Warmup Iteration   6: 21.841 ns/op
# Warmup Iteration   7: 21.847 ns/op
# Warmup Iteration   8: 21.856 ns/op
# Warmup Iteration   9: 21.897 ns/op
# Warmup Iteration  10: 21.857 ns/op
# Warmup Iteration  11: 21.985 ns/op
# Warmup Iteration  12: 21.923 ns/op
# Warmup Iteration  13: 22.035 ns/op
# Warmup Iteration  14: 21.860 ns/op
# Warmup Iteration  15: 21.906 ns/op
# Warmup Iteration  16: 21.922 ns/op
# Warmup Iteration  17: 21.901 ns/op
# Warmup Iteration  18: 22.105 ns/op
# Warmup Iteration  19: 21.886 ns/op
# Warmup Iteration  20: 21.984 ns/op
Iteration   1: 21.903 ns/op
Iteration   2: 21.971 ns/op
Iteration   3: 22.131 ns/op
Iteration   4: 21.970 ns/op
Iteration   5: 22.009 ns/op
Iteration   6: 21.929 ns/op
Iteration   7: 21.937 ns/op
Iteration   8: 22.084 ns/op
Iteration   9: 21.915 ns/op
Iteration  10: 21.917 ns/op
Iteration  11: 21.921 ns/op
Iteration  12: 21.959 ns/op
Iteration  13: 22.027 ns/op
Iteration  14: 21.834 ns/op
Iteration  15: 21.987 ns/op
Iteration  16: 21.825 ns/op
Iteration  17: 22.045 ns/op
Iteration  18: 22.059 ns/op
Iteration  19: 21.941 ns/op
Iteration  20: 21.987 ns/op

# Run progress: 1.67% complete, ETA 00:39:41
# Fork: 2 of 10
# Warmup Iteration   1: 22.399 ns/op
# Warmup Iteration   2: 21.810 ns/op
# Warmup Iteration   3: 21.822 ns/op
# Warmup Iteration   4: 21.675 ns/op
# Warmup Iteration   5: 21.676 ns/op
# Warmup Iteration   6: 21.665 ns/op
# Warmup Iteration   7: 21.666 ns/op
# Warmup Iteration   8: 21.838 ns/op
# Warmup Iteration   9: 21.665 ns/op
# Warmup Iteration  10: 21.709 ns/op
# Warmup Iteration  11: 21.688 ns/op
# Warmup Iteration  12: 21.641 ns/op
# Warmup Iteration  13: 21.863 ns/op
# Warmup Iteration  14: 21.644 ns/op
