# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Seq2ArrayAccess.testGet
# Parameters: (size = 10)

# Run progress: 0.00% complete, ETA 00:40:00
# Fork: 1 of 10
# Warmup Iteration   1: 7.490 ns/op
# Warmup Iteration   2: 7.491 ns/op
# Warmup Iteration   3: 7.619 ns/op
# Warmup Iteration   4: 7.615 ns/op
# Warmup Iteration   5: 7.719 ns/op
# Warmup Iteration   6: 7.600 ns/op
# Warmup Iteration   7: 7.625 ns/op
# Warmup Iteration   8: 7.610 ns/op
# Warmup Iteration   9: 7.630 ns/op
# Warmup Iteration  10: 7.707 ns/op
# Warmup Iteration  11: 7.656 ns/op
# Warmup Iteration  12: 7.890 ns/op
# Warmup Iteration  13: 7.797 ns/op
# Warmup Iteration  14: 7.659 ns/op
# Warmup Iteration  15: 7.691 ns/op
# Warmup Iteration  16: 7.640 ns/op
# Warmup Iteration  17: 7.634 ns/op
# Warmup Iteration  18: 7.823 ns/op
# Warmup Iteration  19: 7.664 ns/op
# Warmup Iteration  20: 7.714 ns/op
Iteration   1: 7.656 ns/op
Iteration   2: 7.598 ns/op
Iteration   3: 7.625 ns/op
Iteration   4: 7.622 ns/op
Iteration   5: 7.657 ns/op
Iteration   6: 7.630 ns/op
Iteration   7: 7.639 ns/op
Iteration   8: 7.632 ns/op
Iteration   9: 7.663 ns/op
Iteration  10: 7.665 ns/op
Iteration  11: 7.588 ns/op
Iteration  12: 7.613 ns/op
Iteration  13: 7.609 ns/op
Iteration  14: 7.620 ns/op
Iteration  15: 7.702 ns/op
Iteration  16: 7.627 ns/op
Iteration  17: 7.637 ns/op
Iteration  18: 7.634 ns/op
Iteration  19: 7.636 ns/op
Iteration  20: 7.682 ns/op

# Run progress: 1.67% complete, ETA 00:39:40
# Fork: 2 of 10
# Warmup Iteration   1: 7.510 ns/op
# Warmup Iteration   2: 7.481 ns/op
# Warmup Iteration   3: 7.606 ns/op
# Warmup Iteration   4: 7.643 ns/op
# Warmup Iteration   5: 7.633 ns/op
# Warmup Iteration   6: 7.643 ns/op
# Warmup Iteration   7: 7.619 ns/op
# Warmup Iteration   8: 7.588 ns/op
# Warmup Iteration   9: 7.607 ns/op
# Warmup Iteration  10: 7.627 ns/op
# Warmup Iteration  11: 7.589 ns/op
# Warmup Iteration  12: 7.661 ns/op
# Warmup Iteration  13: 7.630 ns/op
# Warmup Iteration  14: 7.607 ns/op
