"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.github.arnaudroger.RandomArrayAccess.testGet","avgt",1,200,20.982605,0.228594,"ns/op",10
"com.github.arnaudroger.RandomArrayAccess.testGet","avgt",1,200,20.600195,0.073678,"ns/op",1000
"com.github.arnaudroger.RandomArrayAccess.testGet","avgt",1,200,33.544674,0.034749,"ns/op",1000000
"com.github.arnaudroger.RandomListAccess.testGet","avgt",1,200,23.160767,0.096659,"ns/op",10
"com.github.arnaudroger.RandomListAccess.testGet","avgt",1,200,23.457491,0.133248,"ns/op",1000
"com.github.arnaudroger.RandomListAccess.testGet","avgt",1,200,90.300827,0.245503,"ns/op",1000000
"com.github.arnaudroger.SeqArrayAccess.testGet","avgt",1,200,27.258031,0.018736,"ns/op",10
"com.github.arnaudroger.SeqArrayAccess.testGet","avgt",1,200,2569.966240,2.171444,"ns/op",1000
"com.github.arnaudroger.SeqArrayAccess.testGet","avgt",1,200,2633544.985140,2389.150749,"ns/op",1000000
"com.github.arnaudroger.SeqListAccess.testClassicForEach","avgt",1,200,44.507350,0.745920,"ns/op",10
"com.github.arnaudroger.SeqListAccess.testClassicForEach","avgt",1,200,4280.267895,3.358557,"ns/op",1000
"com.github.arnaudroger.SeqListAccess.testClassicForEach","avgt",1,200,4251067.024594,11038.199481,"ns/op",1000000
"com.github.arnaudroger.SeqListAccess.testIndexed","avgt",1,200,41.081764,0.402029,"ns/op",10
"com.github.arnaudroger.SeqListAccess.testIndexed","avgt",1,200,4088.428238,3.446611,"ns/op",1000
"com.github.arnaudroger.SeqListAccess.testIndexed","avgt",1,200,3720347.587693,7958.778718,"ns/op",1000000
"com.github.arnaudroger.SeqListAccess.testNewForEach","avgt",1,200,47.442084,0.530389,"ns/op",10
"com.github.arnaudroger.SeqListAccess.testNewForEach","avgt",1,200,4555.161105,11.505296,"ns/op",1000
"com.github.arnaudroger.SeqListAccess.testNewForEach","avgt",1,200,4435148.392253,41712.574731,"ns/op",1000000
